k,random hill climb,simulated annealing,genetic algorithm,MIMIC
1,0.0,0.0,0.0,0.0
2,50.0,50.0,50.0,50.0
3,100.0,100.0,100.0,100.0
4,150.0,150.0,150.0,150.0
5,200.0,200.0,200.0,200.0
6,,,250.0,250.0
7,,,300.0,300.0
8,,,350.0,350.0
9,,,400.0,400.0
10,,,450.0,450.0
11,,,500.0,500.0
12,,,,550.0
13,,,600.0,600.0
14,,,650.0,650.0
15,,,,700.0
