queens,random hill climb,simulated annealing,genetic algorithm,MIMIC
4,14,2,17,14
5,17,1,20,18
6,11,2,22,19
7,15,3,25,19
8,11,2,21,23
9,16,3,24,29
10,15,2,25,29
11,20,5,33,38
12,18,4,32,41
13,19,4,31,49
14,18,4,33,53
15,19,4,36,45
