to,from,weight
1,0,0.7418896190289852
2,0,0.8072096822483024
2,1,1.029839120744671
3,0,0.7780080573375594
3,1,0.3266377445766298
3,2,0.7755491737577973
4,0,1.100599430331597
4,1,0.5351752286411141
4,2,0.9575128174840944
4,3,0.322799510476337
5,0,0.7981844341128177
5,1,0.20600915405749134
5,2,1.2117588394145373
5,3,0.5325546029477131
5,4,0.7114667548173
6,0,0.7463555496696901
6,1,0.32543537878591666
6,2,1.2611657981196895
6,3,0.6440472616256202
6,4,0.8524603668422254
6,5,0.14999954293879267
7,0,0.27854991599590734
7,1,0.48148437202685096
7,2,0.8975295991560552
7,3,0.5974382658517723
7,4,0.912633618878817
7,5,0.5198372898785977
7,6,0.4728907990693888
8,0,0.16605945825204002
8,1,0.7302962710697283
8,2,0.9670760427393735
8,3,0.8345092192817056
8,4,1.1546437188072216
8,5,0.7427367243990847
8,6,0.6633101464535
8,7,0.25133215967088135
9,0,0.8944428644302799
9,1,0.516789539435919
9,2,0.6958253483256291
9,3,0.1932803680851301
9,4,0.26791816336293167
9,5,0.7216931560830072
9,6,0.8369594867622746
9,7,0.7548312543404038
9,8,0.9759195944295609
1,0,0.6465253197506525
2,0,0.25595512474369225
2,1,0.5558336802502696
3,0,0.941262747319537
3,1,0.3095079622908736
3,2,0.8652768877866667
4,0,0.4347647827370793
4,1,0.42310417539719447
4,2,0.5364370796392735
4,3,0.6263423893878218
5,0,0.49232921833415305
5,1,0.15678107318427503
5,2,0.40544611367702404
5,3,0.4638188649781178
5,4,0.3461841515912739
6,0,0.7452925010118805
6,1,0.47016394386455984
6,2,0.8163409451371498
6,3,0.49808403922889033
6,4,0.3110124127367338
6,5,0.4986534394055689
7,0,0.3718646693435851
7,1,0.35890907411769185
7,2,0.20119711848808353
7,3,0.667262404027411
7,4,0.4521725729219789
7,5,0.2171311457546373
7,6,0.6838317832214379
8,0,0.10273576729178835
8,1,0.6009069403846398
8,2,0.31697555763047375
8,3,0.8825509619376206
8,4,0.3393257843173463
8,5,0.45388810532475304
8,6,0.6502836850114357
8,7,0.3801121885319387
9,0,0.9570189050243755
9,1,0.3209430104674095
9,2,0.8255078344878956
9,3,0.2132008916696912
9,4,0.7282729235856011
9,5,0.46611408412773997
9,6,0.6748830161380319
9,7,0.6254422297943307
9,8,0.9190123250616176
10,0,0.39922560441029437
10,1,0.4472738625491863
10,2,0.5143954736725287
10,3,0.661853486900736
10,4,0.040311112548195104
10,5,0.35815985531130357
10,6,0.3485504237198737
10,7,0.4444310483311921
10,8,0.3020964151474519
10,9,0.7572930730456517
11,0,0.6336055624709375
11,1,0.4138565614525743
11,2,0.4038362321840719
11,3,0.6624771279942391
11,4,0.6907335872325234
11,5,0.3629224358679314
11,6,0.8570278100058701
11,7,0.2762794606329882
11,8,0.6544472020318008
11,9,0.5352595442014625
11,10,0.6924239742904229
12,0,0.5271500471882468
12,1,0.25648105648177205
12,2,0.35268183987623225
12,3,0.5468057092872017
12,4,0.5076176773004113
12,5,0.17639068211148054
12,6,0.6734431609116877
12,7,0.15970724844958487
12,8,0.5226721306645699
12,9,0.475763916061614
12,10,0.5122861786655185
12,11,0.18698396405511875
13,0,0.6499166697744333
13,1,0.09074389811159164
13,2,0.5946380475024662
13,3,0.2917180176024148
13,4,0.3663973105985793
13,5,0.19074128143359423
13,6,0.3800413850724279
13,7,0.40750824927272933
13,8,0.5913898244119762
13,9,0.36187591186095897
13,10,0.3959327697228033
13,11,0.4989427330296732
13,12,0.3309741789933428
14,0,0.47906775924392764
14,1,0.7101028267200223
14,2,0.6839703857063774
14,3,0.8957603670595942
14,4,0.2870893968530662
14,5,0.6212881610795263
14,6,0.4710929850166351
14,7,0.6732557484462105
14,8,0.38210134063576273
14,9,1.0131482421775218
14,10,0.2650677533212199
14,11,0.9386864551182573
14,12,0.7660605701736828
14,13,0.6517342420184504
15,0,0.12463935921880982
15,1,0.5576528018394066
15,2,0.14231677424928393
15,3,0.8618677387148435
15,4,0.43295113394518525
15,5,0.4008894687754048
15,6,0.7321802051227287
15,7,0.25216334906285737
